Neighbourhood,Number of residents per 1-1,Gender: male,Gender: female
Oud Scheveningen,2925,1455,1470
Vissershaven,4894,2350,2544
Scheveningen Badplaats,5656,2768,2888
Visserijbuurt,4107,1928,2179
v Stolkpark/Schev Bosjes,795,384,411
Waldeck-Zuid,2041,929,1112
Statenkwartier,10322,4978,5344
Geuzenkwartier,4484,2091,2393
Vogelwijk,5438,2660,2778
Rond de Energiecentrale,6808,3418,3390
Kortenbos,7853,3953,3900
Voorhout,2602,1328,1274
Uilebomen,4047,2071,1976
Zuidwal,7443,3841,3602
Schildersbuurt-West,14124,7152,6972
Schildersbuurt-Noord,9561,4706,4855
Schildersbuurt-Oost,6683,3287,3396
Huygenspark,8303,4051,4252
Laakhaven-Oost,5311,2556,2755
Moerwijk-Oost,3397,1832,1565
Groente- en Fruitmarkt,7510,4459,3051
Laakhaven-West,7358,3783,3575
Spoorwijk,3833,1962,1871
Laakkwartier-West,8300,4485,3815
Laakkwartier-Oost,11635,6256,5379
Noordpolderbuurt,8421,4348,4073
Rustenburg,6165,3216,2949
Oostbroek-Noord,4586,2391,2195
Transvaalkwartier-Noord,4085,2022,2063
Transvaalkwartier-Midden,4981,2549,2432
Transvaalkwartier-Zuid,7329,3947,3382
Oostbroek-Zuid,8436,4454,3982
Zuiderpark,121,57,64
Moerwijk-West,6376,3323,3053
Moerwijk-Noord,7159,3804,3355
Moerwijk-Zuid,4794,2512,2282
Nieuw Waldeck,7369,3595,3774
Zorgvliet,708,362,346
Stadhoudersplantsoen,2871,1380,1491
Sweelinckplein eo,6002,2955,3047
Koningsplein eo,7605,3775,3830
Zeeheldenkwartier,12940,6462,6478
Archipelbuurt,6264,2957,3307
Willemspark,1731,854,877
Nassaubuurt,1694,826,868
Haagse Bos,499,234,265
Bloemenbuurt-West,2276,1043,1233
Bloemenbuurt-Oost,6483,3000,3483
Bomenbuurt,6214,2926,3288
Vruchtenbuurt,7325,3490,3835
Heesterbuurt,6797,3307,3490
Valkenboskwartier,11669,5817,5852
Binckhorst,3397,1930,1467
Landen,5327,2555,2772
Rivierenbuurt-Zuid,951,513,438
Rivierenbuurt-Noord,4103,2173,1930
Bezuidenhout-West,4834,2334,2500
Bezuidenhout-Midden,5336,2617,2719
Bezuidenhout-Oost,9296,4519,4777
Kampen,2878,1431,1447
Marlot,778,396,382
Burgen en Horsten,6702,3164,3538
Oostduinen,0,0,0
Belgisch Park,8367,4071,4296
Rijslag,1763,815,948
Westbroekpark,1055,479,576
Duttendel,1317,581,736
Uilennest,2326,1095,1231
Duinzigt,2657,1156,1501
Waalsdorp,4082,1965,2117
Arendsdorp,1993,975,1018
v Hoytemastraat eo,2465,1183,1282
Morgenstond-Zuid,6695,3537,3158
Bosjes van Pex,366,184,182
Rosenburg,3245,1568,1677
Eykenduynen,2644,1235,1409
Leyenburg,17030,8372,8658
Kerketuinen/Zichtenburg,166,119,47
Houtwijk,12739,6256,6483
Venen/Oorden/Raden,8417,4280,4137
Morgenstond-West,7964,3999,3965
Morgenstond-Oost,6124,3263,2861
Ockenburgh,1383,666,717
Kijkduin,2279,1078,1201
Bohemen/Meer en Bos,4557,1990,2567
Componistenbuurt,1818,807,1011
Waldeck-Noord,3185,1367,1818
Kom Loosduinen,5035,2329,2706
Zijden/Steden/Zichten,7849,3937,3912
Kraayenstein & Vroondaal,10491,5387,5104
Dreven en Gaarden,10815,5296,5519
De Uithof,2466,1072,1394
Duindorp,5742,2860,2882
Erasmus Veld,4096,2011,2085
Hoge Veld,9309,4604,4705
Parkbuurt Oosteinde,3395,1728,1667
Lage Veld,4256,2023,2233
Zonne Veld,3359,1700,1659
Vlietzoom-West,174,85,89
Vliegeniersbuurt,0,0,0
Bosweide,1899,960,939
Tedingerbroek,0,0,0
De Reef,810,431,379
De Venen,1819,943,876
Morgenweide,7048,3527,3521
Singels,5437,2699,2738
Waterbuurt,4677,2343,2334
De Bras,5664,2800,2864
Vlietzoom-Oost,108,57,51
De Rivieren,27,16,11
De Lanen,5343,2730,2613
De Velden,4109,2078,2031
De Vissen,8167,4031,4136
Rietbuurt,2723,1350,1373
